email;company;sector;location;vehicles;phone;website;score;ai_score;status;contact_person;source;created_at
info@avon.nl;Afvalverwerking Oost Nederland;afvalverwerking;Nederland;68;;www.avon.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@verbrink.nl;Verbrink Recycling;afvalverwerking;Nederland;91;;www.verbrink.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@deltaafval.nl;Delta Afval;afvalverwerking;Nederland;73;;www.deltaafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@nha.nl;Noord-Holland Afval;afvalverwerking;Nederland;99;;www.nha.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@central-recycling.nl;Central Recycling;afvalverwerking;Nederland;54;;www.central-recycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@avu.nl;Afvalstoffenverwerking Utrecht;afvalverwerking;Nederland;87;;www.avu.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@afvalzorg.nl;Afvalzorg;afvalverwerking;Nederland;120;;www.afvalzorg.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@acvgroep.nl;ACV Groep;afvalverwerking;Nederland;75;;www.acvgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@simsrecycling.nl;Sims Recycling;afvalverwerking;Nederland;110;;www.simsrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@milieudienstenneerd.nl;Milieudiensten Noord;afvalverwerking;Nederland;65;;www.milieudienstenneerd.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@isvag.nl;ISVAG;afvalverwerking;Nederland;80;;www.isvag.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@tventemilieu.nl;Twente Milieu;afvalverwerking;Nederland;70;;www.tventemilieu.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@gasgroningen.nl;Gemeente Afval Service;afvalverwerking;Nederland;55;;www.gasgroningen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@meerlanden.nl;Meerlanden;afvalverwerking;Nederland;85;;www.meerlanden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@steenbrink.nl;Steenbrink;afvalverwerking;Nederland;75;;www.steenbrink.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@westlandinfra.nl;Westland Infra;afvalverwerking;Nederland;65;;www.westlandinfra.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@duurzaamnz.nl;Duurzaam Noord-Holland;afvalverwerking;Nederland;60;;www.duurzaamnz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@wecycle.nl;Wecycle;afvalverwerking;Nederland;55;;www.wecycle.nl;60;80;discovered;;ai_discovery;2026-03-23 09:19:54
info@waste2clean.nl;Waste2Clean;afvalverwerking;Nederland;85;;www.waste2clean.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@avr.nl;AVR;afvalverwerking;Nederland;120;;www.avr.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@beccarium.nl;Beccarium;afvalverwerking;Nederland;65;;www.beccarium.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@circet.nl;Circet Nederland;afvalverwerking;Nederland;110;;www.circet.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@aco.nl;Afval Centrale Oost;afvalverwerking;Nederland;62;;www.aco.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@saver.nl;Saver;afvalverwerking;Nederland;68;;www.saver.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@asmb.nl;Afvalservice Midden-Brabant;afvalverwerking;Nederland;58;;www.asmb.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@rcgroep.nl;Recycling Centrum Groep;afvalverwerking;Nederland;71;;www.rcgroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@anhnl.nl;Afvalwerkingbedrijf Noord-Holland;afvalverwerking;Nederland;64;;www.anhnl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@tav.nl;Twente Afvalverwerking;afvalverwerking;Nederland;53;;www.tav.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@limburgrecycling.nl;Limburg Recycling;afvalverwerking;Nederland;59;;www.limburgrecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@alz.nl;Afvallogistiek Zentrum;afvalverwerking;Nederland;82;;www.alz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@uab.nl;Utrecht Afvalbeheer;afvalverwerking;Nederland;73;;www.uab.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@zhr.nl;Zuid-Holland Recycling;afvalverwerking;Nederland;67;;www.zhr.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@aoz.nl;Afvalopslag Zuidoost;afvalverwerking;Nederland;54;;www.aoz.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:35
info@puqam.nl;PUQAM;afvalverwerking;Nederland;120;;www.puqam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.amsterdam.nl;Gemeente Amsterdam Afval;afvalverwerking;Nederland;250;;www.amsterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@avggroep.nl;AVG Groep;afvalverwerking;Nederland;95;;www.avggroep.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalverwerking-flevoland.nl;Afvalverwerking Flevoland;afvalverwerking;Nederland;110;;www.afvalverwerking-flevoland.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@hvn.nl;Huisvuilverwerking Noord;afvalverwerking;Nederland;75;;www.hvn.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalservice-oost.nl;Afvalservice Oost;afvalverwerking;Nederland;65;;www.afvalservice-oost.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.rotterdam.nl;Gemeente Rotterdam Afval;afvalverwerking;Nederland;220;;www.rotterdam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@prowaste.nl;ProWaste;afvalverwerking;Nederland;140;;www.prowaste.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@asz-zwolle.nl;Afvalstoffenmaatschappij Zwolle;afvalverwerking;Nederland;70;;www.asz-zwolle.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieu-haarlemmermeer.nl;Milieudienst Haarlemmermeer;afvalverwerking;Nederland;55;;www.milieu-haarlemmermeer.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@westafval.nl;Westafval;afvalverwerking;Nederland;130;;www.westafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@rwe-incineration.nl;RWE Incineration;afvalverwerking;Nederland;95;;www.rwe-incineration.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.denhaag.nl;Gemeente Haag Afval;afvalverwerking;Nederland;180;;www.denhaag.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afval.utrecht.nl;Gemeente Utrecht Afval;afvalverwerking;Nederland;165;;www.utrecht.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieubedrijf-nijmegen.nl;Milieubedrijf Nijmegen;afvalverwerking;Nederland;85;;www.milieubedrijf-nijmegen.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@afvalverwerking-limburg.nl;Afvalverwerking Limburg;afvalverwerking;Nederland;110;;www.afvalverwerking-limburg.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@milieudienst-leiden.nl;Milieudienst Leiden;afvalverwerking;Nederland;60;;www.milieudienst-leiden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:37:49
info@circulaireeeconomie.nl;Circulaire Economie BV;afvalverwerking;Nederland;85;;www.circulaireeeconomie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@georecycling.nl;Geo Recycling;afvalverwerking;Nederland;55;;www.georecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvalzorgnoo.nl;Afvalzorg Noord;afvalverwerking;Nederland;75;;www.afvalzorgnoo.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@recyclingexperts.nl;Recycling Experts;afvalverwerking;Nederland;80;;www.recyclingexperts.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afalstrijd.nl;Afval Strijd BV;afvalverwerking;Nederland;60;;www.afalstrijd.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@deronde-economie.nl;De Ronde Economie;afvalverwerking;Nederland;70;;www.deronde-economie.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@metrorecycling.nl;Metro Recycling;afvalverwerking;Nederland;90;;www.metrorecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@ecotransport.nl;Eco Transport Nederland;afvalverwerking;Nederland;55;;www.ecotransport.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@containersolutions.nl;Container Solutions;afvalverwerking;Nederland;85;;www.containersolutions.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvallogistiekplus.nl;Afvallogistiek Plus;afvalverwerking;Nederland;65;;www.afvallogistiekplus.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@dumpdrive.nl;Dump & Drive;afvalverwerking;Nederland;75;;www.dumpdrive.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@wasteprofessionals.nl;Waste Professionals;afvalverwerking;Nederland;60;;www.wasteprofessionals.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvalspecialist.nl;Afval Specialist BV;afvalverwerking;Nederland;70;;www.afvalspecialist.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@circulairbeheer.nl;Circulair Beheer;afvalverwerking;Nederland;55;;www.circulairbeheer.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvaldynamiek.nl;Afval Dynamiek;afvalverwerking;Nederland;65;;www.afvaldynamiek.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@sorterenscheiden.nl;Sorteren en Scheiden;afvalverwerking;Nederland;80;;www.sorterenscheiden.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@duurzaamafval.nl;Duurzaam Afval;afvalverwerking;Nederland;100;;www.duurzaamafval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@logistiekcirculair.nl;Logistiek Circulair;afvalverwerking;Nederland;75;;www.logistiekcirculair.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@vandammerecycling.nl;Van Damme Recycling;afvalverwerking;Nederland;70;;www.vandammerecycling.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:18
info@acv-group.nl;ACV Group;afvalverwerking;Nederland;280;;www.acv-group.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@bamerica.nl;Bamérica;afvalverwerking;Nederland;180;;www.bamerica.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@safe-nl.nl;Samenwerking Afvalbeheer Friesland;afvalverwerking;Nederland;110;;www.safe-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@cure-bv.nl;Cure;afvalverwerking;Nederland;85;;www.cure-bv.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@wsi-nl.nl;Waste Services International;afvalverwerking;Nederland;220;;www.wsi-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@gau.nl;Gemeente Afvalbeheer Utrecht;afvalverwerking;Nederland;100;;www.gau.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@gam-maastricht.nl;Gemeentelijk Afvalverwerkingsbedrijf Maastricht;afvalverwerking;Nederland;75;;www.gam-maastricht.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@ava.nl;Afvalverwerking Arnhem;afvalverwerking;Nederland;85;;www.ava.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@nijhuis-afval.nl;Nijhuis Afvalverwerking;afvalverwerking;Nederland;110;;www.nijhuis-afval.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@afvalbedrijfbreda.nl;Afvalbedrijf Breda;afvalverwerking;Nederland;95;;www.afvalbedrijfbreda.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@mba.nl;Milieubedrijf Amsterdam;afvalverwerking;Nederland;240;;www.mba.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@belwam.nl;BelWaM;afvalverwerking;Nederland;120;;www.belwam.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@od-noord.nl;OD-Noord;afvalverwerking;Nederland;88;;www.od-noord.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@urm-nl.nl;URM;afvalverwerking;Nederland;125;;www.urm-nl.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@af-flevoland.nl;Afvalverwerking Flevoland;afvalverwerking;Nederland;65;;www.af-flevoland.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@gag.nl;Gemeente Afvalbeheer Gelderland;afvalverwerking;Nederland;140;;www.gag.nl;60;80;discovered;;ai_discovery;2026-03-23 09:57:23
info@renewi.com;Renewi;afvalverwerking;Amsterdam;450;;www.renewi.com;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@waste2go.nl;Waste2Go;afvalverwerking;Utrecht;85;;www.waste2go.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@cyclusgroep.nl;Cyclus Groep;afvalverwerking;Rotterdam;120;;www.cyclusgroep.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@acvafval.nl;ACV Afvalverwerking;afvalverwerking;Den Haag;65;;www.acvafval.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@vanderlinde.nl;Van der Linde Milieu;afvalverwerking;Tilburg;95;;www.vanderlinde.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@segersrecycling.nl;Segers Recycling;afvalverwerking;Arnhem;55;;www.segersrecycling.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@twenteafval.nl;Twente Afval;afvalverwerking;Enschede;60;;www.twenteafval.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@groeplogistiek.nl;Groep Logistiek Services;afvalverwerking;Eindhoven;75;;www.groeplogistiek.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@aton.nl;Aton Milieu;afvalverwerking;Haarlem;55;;www.aton.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@dlsafval.nl;DLS Afvallogistiek;afvalverwerking;Almere;70;;www.dlsafval.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@martensrecycling.nl;Martens Recycling;afvalverwerking;Nijmegen;52;;www.martensrecycling.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@puurrecycling.nl;Puur Recycling;afvalverwerking;Amersfoort;58;;www.puurrecycling.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@westernwaste.nl;Western Waste Solutions;afvalverwerking;IJmuiden;62;;www.westernwaste.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@ecovista.nl;Ecovista Recycling;afvalverwerking;Zaandam;54;;www.ecovista.nl;0;80;new;;ai_knowledge;2026-03-18 12:44:59
info@mwhglobal.nl;MWH Global Netherlands;afvalverwerking;Nederland;52;;www.mwhglobal.nl;60;78;discovered;;ai_discovery;2026-03-23 09:09:06
info@fortunaafval.nl;Fortuna Afvalverwerking;afvalverwerking;Nederland;95;;www.fortunaafval.nl;60;77;discovered;;ai_discovery;2026-03-23 09:09:06
info@avaafval.nl;AVA Afvalverwerking;afvalverwerking;Nederland;55;;www.avaafval.nl;60;77;discovered;;ai_discovery;2026-03-23 09:09:06
info@mbrrotterdam.nl;Milieubedrijf Rotterdam;afvalverwerking;Nederland;150;;www.mbrrotterdam.nl;60;75;discovered;;ai_discovery;2026-03-23 09:09:06
info@afvalunie.nl;Afvalunie;afvalverwerking;Nederland;82;;www.afvalunie.nl;60;72;discovered;;ai_discovery;2026-03-23 09:09:06
info@wijreinigen.nl;Wij Reinigen;afvalverwerking;Nederland;88;;www.wijreinigen.nl;60;71;discovered;;ai_discovery;2026-03-23 09:09:06
info@twentemilieu.nl;Twente Milieu;afvalverwerking;Nederland;78;;www.twentemilieu.nl;60;71;discovered;;ai_discovery;2026-03-23 09:09:06
info@rova.nl;ROVA;afvalverwerking;Nederland;71;;www.rova.nl;60;71;discovered;;ai_discovery;2026-03-23 09:09:06
info@omrin.nl;Omrin;afvalverwerking;Nederland;85;;www.omrin.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@gemeentebedrijfarnhem.nl;Gemeentebedrijf Arnhem;afvalverwerking;Nederland;72;;www.gemeentebedrijfarnhem.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@drystack.nl;Drystack;afvalverwerking;Nederland;45;;www.drystack.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@adfm.nl;Afvalmanagement de Fryske Marren;afvalverwerking;Nederland;38;;www.adfm.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@afvfriesland.nl;Afvalstoffenverwerking Friesland;afvalverwerking;Nederland;41;;www.afvfriesland.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@amn.nl;Afvalverwerking Midden-Nederland;afvalverwerking;Nederland;64;;www.amn.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@milieucentraal.nl;Milieu Centraal;afvalverwerking;Nederland;35;;www.milieucentraal.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@azsf.nl;Afvalverwerking Zuidwest Friesland;afvalverwerking;Nederland;32;;www.azsf.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@westlandafval.nl;Westland Afvalverwerking;afvalverwerking;Nederland;48;;www.westlandafval.nl;60;70;discovered;;ai_discovery;2026-03-23 09:09:06
info@wijrecyclen.nl;Wij Recyclen;afvalverwerking;Nederland;43;;www.wijrecyclen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:54
info@westlandrecycling.nl;Westland Recycling;afvalverwerking;Nederland;42;;www.westlandrecycling.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:54
info@kringloopamsterdam.nl;Kringloop Amsterdam;afvalverwerking;Nederland;45;;www.kringloopamsterdam.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:54
info@milieucentrale.nl;Milieu Centrale;afvalverwerking;Nederland;40;;www.milieucentrale.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:54
info@defryskermarren.nl;De Fryske Marren;afvalverwerking;Nederland;50;;www.defryskermarren.nl;60;70;discovered;;ai_discovery;2026-03-23 09:19:54
info@desterafval.nl;DeSter;afvalverwerking;Nederland;48;;www.desterafval.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:35
info@vvav.nl;VVAV;afvalverwerking;Nederland;41;;www.vvav.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:35
info@nspwaste.nl;North Sea Port Waste;afvalverwerking;Nederland;47;;www.nspwaste.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:35
info@fav.nl;Friesland Afvalverwerking;afvalverwerking;Nederland;44;;www.fav.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:35
info@derondevenen.nl;Inzamelcentrum De Ronde Venen;afvalverwerking;Nederland;45;;www.derondevenen.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:49
info@asc-delft.nl;Afvalstoffencentrum Delft;afvalverwerking;Nederland;50;;www.asc-delft.nl;60;70;discovered;;ai_discovery;2026-03-23 09:37:49
info@daralbarka.nl;Dar Al Baraka;afvalverwerking;Nederland;40;;www.daralbarka.nl;60;70;discovered;;ai_discovery;2026-03-23 09:57:18
info@weedbijters.nl;Weedbijters;afvalverwerking;Nederland;45;;www.weedbijters.nl;60;70;discovered;;ai_discovery;2026-03-23 09:57:18
info@groenekracht.nl;Groene Kracht;afvalverwerking;Nederland;50;;www.groenekracht.nl;60;70;discovered;;ai_discovery;2026-03-23 09:57:18
info@nwrecycling.nl;Noord-West Recycling;afvalverwerking;Nederland;48;;www.nwrecycling.nl;60;70;discovered;;ai_discovery;2026-03-23 09:57:18
info@ecocollect.nl;Eco Collect;afvalverwerking;Nederland;50;;www.ecocollect.nl;60;70;discovered;;ai_discovery;2026-03-23 09:57:18
info@afvalverwerkingnoord.nl;Afvalverwerking Noord;afvalverwerking;Groningen;45;;www.afvalverwerkingnoord.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@dkgmilieu.nl;DKG Milieu;afvalverwerking;Apeldoorn;40;;www.dkgmilieu.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@argorecycling.nl;ARGO Recycling;afvalverwerking;Maastricht;50;;www.argorecycling.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@cleansweep.nl;Clean Sweep Services;afvalverwerking;Leiden;35;;www.cleansweep.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@kemeko.nl;Kemeko Afvalverwerking;afvalverwerking;Leeuwarden;38;;www.kemeko.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@groenrijkrecycling.nl;Groenrijk Recycling;afvalverwerking;Zwolle;42;;www.groenrijkrecycling.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@deroofafval.nl;De Roo Afval;afvalverwerking;Breda;48;;www.deroofafval.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@afvallogistiekzuid.nl;Afval Logistiek Zuid;afvalverwerking;Venlo;44;;www.afvallogistiekzuid.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@greencycle.nl;Green Cycle Services;afvalverwerking;Gouda;36;;www.greencycle.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@neos.nl;Neos Afvalverwerking;afvalverwerking;Alkmaar;41;;www.neos.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@recyclepoint.nl;RecyclePoint Netherlands;afvalverwerking;Delfzijl;33;;www.recyclepoint.nl;0;70;new;;ai_knowledge;2026-03-18 12:44:59
info@cure.nl;Cure;afvalverwerking;Nederland;95;;www.cure.nl;60;69;discovered;;ai_discovery;2026-03-23 09:09:06
info@ecotrash.nl;EcoTrash;afvalverwerking;Nederland;62;;www.ecotrash.nl;60;69;discovered;;ai_discovery;2026-03-23 09:09:06
info@amf.nl;Afvalstoffenmaatschappij Fryslân;afvalverwerking;Nederland;68;;www.amf.nl;60;68;discovered;;ai_discovery;2026-03-23 09:09:06
info@cyclus.nl;Cyclus;afvalverwerking;Nederland;58;;www.cyclus.nl;60;65;discovered;;ai_discovery;2026-03-23 09:09:06
info@recyclageplus.nl;Recyclage Plus;afvalverwerking;Nederland;0;;www.recyclageplus.nl;60;40;discovered;;ai_discovery;2026-03-23 09:19:54
info@rd4.nl;RD4;afvalverwerking;Nederland;0;;www.rd4.nl;60;40;discovered;;ai_discovery;2026-03-23 09:37:35
info@afvalverwerking-brabant.nl;Afvalverwerking Brabant;afvalverwerking;Nederland;0;;www.afvalverwerking-brabant.nl;60;40;discovered;;ai_discovery;2026-03-23 09:37:49
info@restcontainersafvalverwerking.nl;Rest Containers & Afvalverwerking;afvalverwerking;Veenendaal;0;;;0;40;new;;openstreetmap;2026-03-18 12:44:59
info@gad.nl;GAD;afvalverwerking;Nederland;110;;www.gad.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@circularq.nl;Circularq;afvalverwerking;Nederland;45;;www.circularq.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@deboerrecycling.nl;De Boer Recycling;afvalverwerking;Nederland;140;;www.deboerrecycling.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@attero.nl;Attero;afvalverwerking;Nederland;200;;www.attero.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@mdrijnmond.nl;Milieudiensten Rijnmond;afvalverwerking;Nederland;85;;www.mdrijnmond.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@acnh.nl;Afvalstoffencentrum Noord-Holland;afvalverwerking;Nederland;40;;www.acnh.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@ecodiensten.nl;Eco Diensten;afvalverwerking;Nederland;50;;www.ecodiensten.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@atesrecycling.nl;ATES Recycling;afvalverwerking;Nederland;60;;www.atesrecycling.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@weeee.nl;Weeee Afvalverwerking;afvalverwerking;Nederland;35;;www.weeee.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@rpsafval.nl;RPS Afval;afvalverwerking;Nederland;65;;www.rpsafval.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@kaakkesrecycling.nl;Kaakkes Recycling;afvalverwerking;Nederland;45;;www.kaakkesrecycling.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@recyclingplus.nl;Recycling Plus;afvalverwerking;Nederland;40;;www.recyclingplus.nl;60;0;discovered;;ai_discovery;2026-03-23 10:16:44
info@circulaire-economie.nl;CirculaireEconomie BV;afvalverwerking;Nederland;38;;www.circulaire-economie.nl;60;0;discovered;;ai_discovery;2026-03-23 10:17:16
